"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 13 18:40:28 GMT 2025","Sun Jul 13 18:40:28 GMT 2025","275","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCreateAccountButton","Check create account button on homepage",""
"passed","Sun Jul 13 18:40:13 GMT 2025","Sun Jul 13 18:40:14 GMT 2025","1559","","api.tests.cart.CartApiExtendedTests","","api.tests.cart.CartApiExtendedTests","deleteItemTest","Add items in bag, delete them and check that they were deleted",""
"broken","Sun Jul 13 18:40:29 GMT 2025","Sun Jul 13 18:40:29 GMT 2025","220","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCartSvg","Check cart button svg on homepage",""
"passed","Sun Jul 13 18:40:14 GMT 2025","Sun Jul 13 18:40:16 GMT 2025","1240","","api.tests.cart.CartApiExtendedTests","","api.tests.cart.CartApiExtendedTests","editItemQuantityTest","Add items in bag, edit them and check that they were edited",""
"broken","Sun Jul 13 18:40:27 GMT 2025","Sun Jul 13 18:40:28 GMT 2025","220","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCartIndicator","Check cart button number indicator on homepage",""
"passed","Sun Jul 13 18:40:19 GMT 2025","Sun Jul 13 18:40:19 GMT 2025","247","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","addItemsToCartSmokeTest","Smoke test: add items to cart",""
"passed","Sun Jul 13 18:40:19 GMT 2025","Sun Jul 13 18:40:19 GMT 2025","174","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","checkTheBagSmokeTest","Smoke test: check the bag",""
"broken","Sun Jul 13 18:40:28 GMT 2025","Sun Jul 13 18:40:28 GMT 2025","221","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","openMenuAndFindSkirtsLink","Open menu and find skirts catalog link on homepage",""
"broken","Sun Jul 13 18:40:30 GMT 2025","Sun Jul 13 18:40:30 GMT 2025","280","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkSearchButtonClick","Click search button and check search input is displayed on homepage",""
"broken","Sun Jul 13 18:40:27 GMT 2025","Sun Jul 13 18:40:27 GMT 2025","225","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","verifyPriceInCart","Verify price in cart",""
"broken","Sun Jul 13 18:40:27 GMT 2025","Sun Jul 13 18:40:27 GMT 2025","217","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","addItemToCart","Add item to cart",""
"broken","Sun Jul 13 18:40:30 GMT 2025","Sun Jul 13 18:40:30 GMT 2025","275","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkSearchButton","Check search button on homepage",""
"broken","Sun Jul 13 18:40:20 GMT 2025","Sun Jul 13 18:40:26 GMT 2025","6149","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","changeItemQuantity","Change item quantity",""
"broken","Sun Jul 13 18:40:27 GMT 2025","Sun Jul 13 18:40:27 GMT 2025","223","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCartLink","Check cart button link on homepage",""
"broken","Sun Jul 13 18:40:31 GMT 2025","Sun Jul 13 18:40:31 GMT 2025","222","","ui.tests.WomenSkirtsSkortsPageSmokeTests","","ui.tests.WomenSkirtsSkortsPageSmokeTests","openWomenSkirtsSkortsPageTest","Open women skirts & skorts page from header on homepage and check url and titles",""
"broken","Sun Jul 13 18:40:28 GMT 2025","Sun Jul 13 18:40:28 GMT 2025","222","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkSignInButton","Check sign in button on homepage",""
